"name","volume","margulis constant","left geod","right geod","ortho length"
"m003(-3,1)",0.9427073627769277209212996031,0.7744266070099858,(0.584603685017988+2.495370455560468j),(0.584603685017988+2.495370455560469j),(0.525311320210391-1.810246162850034j)
"m003(-2,3)",0.9813688288922320880914521898,0.8555891229997833,(0.578082435531855+2.132430636154177j),(0.721568366314447-1.151212989875539j),(0.709901927489093-1.221985209008581j)
"m007(3,1)",1.014941606409653625021202554,0.831442945529311,(0.831442945529311-1.945530759503635j),(0.831442945529311-1.945530759503636j),1.570796326794896j
"m003(-4,3)",1.263709238658043655884716347,0.8138059450555223,(0.575078580850144-1.745322349049002j),(0.666835927028948+2.825033747475914j),(0.589797787536381-1.160895205251154j)
"m004(6,1)",1.284485300468354442460337085,0.8471744921335951,(0.480311803385069-0.933776656666264j),(0.757572247887165+2.061746117617576j),(0.871267945712778-1.13094356697822j)
"m004(1,2)",1.398508884150806640509594327,0.9455115671723393,(0.366130702346491+3.11358994025252j),(0.906895581533644+1.352222729073449j),(0.949309707191818+1.125267335280756j)
"m009(4,1)",1.414061044165391581381949405,0.9476568889733621,(0.843598722968884-1.407715442602953j),(0.853971759056143+0.886069276602036j),(0.641517079199181+1.521526345543166j)
"m003(-3,4)",1.414061044165391581381949405,0.9215179759449771,(0.843598722968887-1.407715442602953j),(0.858021257616638+2.84667559881763j),(0.415527753532175+1.951961617022606j)
"m003(-4,1)",1.423611900292825249809949152,0.8636654806721371,(0.722194467717611+2.561604601083388j),(0.722194467717622+2.561604601083384j),(0.481128742880537-2.038786812976389j)
"m004(3,2)",1.440699006727364875282370223,0.9114895362838326,(0.361521576119861+3.051820352298943j),(0.796623090449011+1.475059821997622j),(1.004578977863828+1.32025558152648j)
"m004(7,1)",1.463776644927238773375694091,0.8898990697596636,(0.356645033638354-0.804380877897185j),(0.857812947704199+2.005854565625924j),(1.001554069704393-1.072788610169243j)
"m004(5,2)",1.529477329430026262824928630,0.9058349589095049,(0.335975531076032+2.97614579287471j),(0.763962765464289+1.630732742618018j),(1.072214969432688+1.514433066596888j)
"m003(-5,3)",1.543568911471855074328472943,0.9016923442354835,(0.706835690895674+2.695747450000769j),(0.797871920114067-1.880387791578537j),(0.523930529396281-1.068477229800774j)
"m007(1,2)",1.543568911471855074328472943,0.8849219503363376,(0.797871920114061+1.880387791578531j),(0.797871920114153+1.880387791578899j),(0.444131825865095-2.055124544740171j)
"m007(4,1)",1.583166660624812836166028852,0.9301875776515427,(0.920913722295178+1.961587580915779j),(0.920913722295179+1.96158758091578j),(0.146461813057174-1.615087593298881j)
"m007(3,2)",1.583166660624812836166028852,0.8834256427960699,(0.777493888275635+2.924929813200253j),(0.777493888275672+2.924929813200245j),(0.411452408779307-1.517556073252963j)
"m006(3,1)",1.588646639300162988176913812,0.8736547628487397,(0.609377863436005+2.737967841125144j),(0.716516698435122+2.344442802051386j),(0.576489764079267-1.808925387703648j)
"m003(-5,4)",1.588646639300162988176913812,0.8952947865760146,(0.755947576193138+2.767721928718782j),(0.785214119641865-1.704152595373394j),(0.501765982157223-1.12808824734641j)
"m006(-3,2)",1.649609715808664120798395882,0.9476618965742134,(0.542123832827034-2.78937097753142j),(0.826217318929582+1.75785753232774j),(0.667144166791553-2.409592275315082j)
"m015(5,1)",1.757126029188451362874746594,0.9821041538238223,(0.705362977871211-0.877515924277619j),(0.953669685297648+1.596577935470177j),(0.757107067650567+1.688579333696108j)
"m007(-3,2)",1.824344322202911961274957218,1.0378300292588054,(0.468007226373233-2.911271424080177j),(0.946265410170214+1.699405270393693j),(0.716206893584059-2.301630102162499j)
"m009(5,1)",1.831931188354438030109207030,0.9967439998128895,(0.530637530952518-1.118517879643704j),(0.881373587019544-1.570796326794896j),(0.984318962896549+0.303068911193646j)
"m010(-2,3)",1.831931188354438030109207030,1.061275061904964,(0.881373587019558-1.570796326794891j),(1.061275061904964-2.2370357592874j),1.570796326794945j
"m009(-5,1)",1.831931188354438030109207030,0.924593622469417,(0.481211825059604-1.570796326794898j),(0.530637530952531+1.118517879643689j),(1.152754515621747+1.102390096217056j)
"m011(1,3)",1.831931188354438030109207030,0.9668301623798679,(0.530637530952503+2.023074773946077j),(0.530637530952455+2.023074773946079j),(0.922363507921834+2.539138936902544j)
"m006(1,3)",1.831931188354438030109207030,0.936564926706222,(0.530637530952519+2.023074773946088j),(0.530637530952517+2.023074773946085j),(0.881373587019542-1.570796326794887j)
"m007(-5,1)",1.843585972326677938720454755,1.0359493640878399,(0.477961349958406+1.163042925431303j),(0.480433913873976+3.092759616328892j),(1.193615056123468+1.225244659701461j)
