"name","left geod","right geod","ortho"
"v0224(,)",0.23786+0.95457j,0.62724+1.67602j,1.47222-0.33841j
"v0226(,)",0.20479+0.88655j,0.58162-1.69836j,1.57388+0.78975j
"v0234(,)",0.56959-1.67802j,0.56959-1.67802j,1.75068+0.87809j
"v0234(,)",0.1223-2.81625j,0.56959-1.67802j,1.83435+0.90991j
"v0241(,)",0.59703+1.65419j,0.59703+1.65419j,1.69382-0.81744j
"v0241(,)",0.10115-2.84268j,0.59703+1.65419j,1.91043-0.23462j
"v0243(,)",0.09758+1.45184j,0.55529+1.66571j,1.9522-1.22549j
"v0243(,)",0.55529+1.66571j,0.55529+1.66571j,1.78628-0.85167j
"v0244(,)",0.09434+2.80149j,0.55273-1.63103j,2.01354-1.43934j
"v0244(,)",0.55273-1.63103j,0.55273-1.63103j,1.75844-2.09526j
"v0245(,)",0.09365+1.91565j,0.56431+1.66959j,1.96884-1.02763j
"v0245(,)",0.56431+1.66959j,0.56431+1.66959j,1.76464-0.85938j
"v0246(,)",0.59252-1.63416j,0.59252-1.63416j,1.6817-2.07298j
"v0247(,)",0.58815-1.62998j,0.58815-1.62998j,1.71831+0.76677j
"v0247(,)",0.0885+1.18051j,0.58815-1.62998j,1.97605+2.83189j
"v0250(,)",0.55009-1.64286j,0.55009-1.64286j,1.76889-2.07141j
"v0252(,)",0.55414-1.65863j,0.55414-1.65863j,1.78979+0.83536j
"v0252(,)",0.08206+1.33364j,0.55414-1.65863j,2.03779+1.3532j
"v0253(,)",0.57402+1.62596j,0.57402+1.62596j,1.71334+2.09592j
"v0253(,)",0.07903+2.82596j,0.57402+1.62596j,2.08695+0.93846j
"v0254(,)",0.56699-1.66649j,0.56699-1.66649j,1.75897+0.85171j
"v0254(,)",0.07918+2.26211j,0.56699-1.66649j,2.05069+0.98698j
"v0255(,)",0.55821-1.63127j,0.55821-1.63127j,1.78311+0.77338j
"v0256(,)",0.55605-1.63387j,0.55605-1.63387j,1.78769+0.77927j
"v0257(,)",0.55461+1.63684j,0.55461+1.63684j,1.79066-0.78596j
"v0258(,)",0.55198+1.64776j,0.55198+1.64776j,1.76662+2.06034j
"v0259(,)",0.5546-1.63729j,0.5546-1.63729j,1.75723-2.08139j
"v0259(,)",0.07456+1.89974j,0.5546-1.63729j,2.12987-1.53241j
"v0260(,)",0.0739+1.93124j,0.5909-1.64822j,2.06911+0.13076j
"v0260(,)",0.5909-1.64822j,0.5909-1.64822j,1.70873+0.80577j
"v0261(,)",0.07314-1.45932j,0.59034+1.64225j,2.07317+0.0262j
"v0261(,)",0.59034+1.64225j,0.59034+1.64225j,1.71123-0.79284j
"v0262(,)",0.55395-1.63993j,0.55395-1.63993j,1.79191+0.7929j
"v0262(,)",0.07203-2.67274j,0.55395-1.63993j,2.09831+1.83085j
"v0263(,)",0.56274-1.66299j,0.56274-1.66299j,1.76936+0.84432j
"v0263(,)",0.0722+1.68188j,0.56274-1.66299j,2.09824+1.11879j
"v0264(,)",0.57053-1.62784j,0.57053-1.62784j,1.75656+0.76472j
"v0264(,)",0.07094-2.71464j,0.57053-1.62784j,2.09456+2.40907j
"v0265(,)",0.06739+1.82175j,0.57335+1.62883j,2.11913-2.48754j
"v0265(,)",0.57335+1.62883j,0.57335+1.62883j,1.75035-0.76653j
"v0267(,)",0.58+1.63203j,0.58+1.63203j,1.70438+2.08172j
"v0267(,)",0.06379+1.43968j,0.58+1.63203j,2.19022+0.73147j
"v0268(,)",0.57584+1.66252j,0.57584+1.66252j,1.72177+2.02359j
"v0269(,)",0.58801+1.649j,0.58801+1.649j,1.71491-0.80813j
"v0269(,)",0.06346+2.24768j,0.58801+1.649j,2.14681-0.16196j
