"name","geod","length","ortho","move"
"m001.or(,)",9,1.96864-2.53545j,0.71271+0.88608j,2.1241481026421
"m001.or(,)",4,1.52857+1.99787j,0.88137-1.5708j,1.76274419081125
"m001.or(,)",1,0.88137+1.5708j,1.52857-1.14372j,1.52856866463236
"m001.or(,)",0,0.88137-1.5708j,1.52857+1.14372j,1.52856866463236
"m001.or(,)",3,1.52857+1.14372j,0.88137-1.5708j,1.7000400904722
"m001.or(,)",6,1.76275,0.88137-1.5708j,1.89892481437969
"m001.or(,)",8,1.96864-2.53545j,0.71271+0.88608j,2.1241481026421
"m001.or(,)",5,1.52857-1.99787j,0.88137+1.5708j,1.76274419081125
"m001.or(,)",2,1.52857-1.14372j,0.88137+1.5708j,1.7000400904722
"m001.or(,)",7,1.96864+2.53545j,0.71271-0.88608j,2.1241481026421
"m002.or(,) (,)",1,0.86255-2.68067j,1.40816+0.54098j,1.66288176220823
"m002.or(,) (,)",4,1.66289+2.39212j,0.98249+0.85435j,1.96498241215271
"m002.or(,) (,)",2,1.66289-2.39212j,0.98249-0.85435j,1.96498241215271
"m002.or(,) (,)",5,1.66289+2.39212j,0.98249+0.85435j,1.96498241215271
"m002.or(,) (,)",3,1.66289-2.39212j,0.98249-0.85435j,1.96498241215271
"m002.or(,) (,)",0,0.86255+2.68067j,1.40816-0.54098j,1.66288176220823
"m003(,)",3,0.86255-2.68067j,1.09335-1.65698j,1.4002571366278
"m003(,)",0,0.86255+2.68067j,1.09335+1.65698j,1.4002571366278
"m003(,)",5,1.08707-1.72277j,0.85336-2.55359j,1.31695833576512
"m003(,)",2,0.86255-2.68067j,1.09335-1.65698j,1.4002571366278
"m003(,)",1,0.86255+2.68067j,1.09335+1.65698j,1.4002571366278
"m003(,)",4,1.08707+1.72277j,0.85336+2.55359j,1.31695833576512
"m004(,)",1,1.08707+1.72277j,0.85336-0.588j,1.31695833576512
"m004(,)",4,1.66289+2.39212j,0.54931-0.5236j,1.76275244585154
"m004(,)",3,1.66289-2.39212j,0.54931+0.5236j,1.76275244585154
"m004(,)",6,1.72511-0.92184j,0.42365+0.85707j,1.7627481249183
"m004(,)",0,1.08707-1.72277j,0.85336+0.588j,1.31695833576512
"m004(,)",5,1.66289+2.39212j,0.54931-0.5236j,1.76275244585154
"m004(,)",2,1.66289-2.39212j,0.54931+0.5236j,1.76275244585154
"m004(,)",7,1.72511+0.92184j,0.42365-0.85707j,1.7627481249183
"m005.or(,)",8,1.89702+1.52284j,0.78717-1.46148j,2.05199643922954
"m005.or(,)",7,1.89702-1.52284j,0.78717+1.46148j,2.05199643922954
"m005.or(,)",2,1.73843+2.08689j,0.75126-1.4424j,1.90636688775738
"m005.or(,)",5,1.73843+2.08689j,0.75126-1.4424j,1.90636688775738
"m005.or(,)",0,0.67067-1.39205j,1.84121+2.16241j,1.52722279562794
"m005.or(,)",3,1.73843-2.08689j,0.75126+1.4424j,1.90636688775738
"m005.or(,)",6,1.89702-1.52284j,0.78717+1.46148j,2.05199643922954
"m005.or(,)",4,1.73843-2.08689j,0.75126+1.4424j,1.90636688775738
"m005.or(,)",1,0.67067+1.39205j,1.84121-2.16241j,1.52722279562794
"m005.or(,)",9,1.89702+1.52284j,0.78717-1.46148j,2.05199643922954
"m006(,)",4,1.36532-2.95884j,1.04213-0.62927j,1.7619470963161
"m006(,)",1,0.75757+2.06175j,1.40451+2.56973j,1.48870516663647
"m006(,)",0,0.6545+3.04404j,1.33092+1.95424j,1.5024158277687
"m006(,)",3,1.36532-2.95884j,1.04213-0.62927j,1.7619470963161
"m006(,)",6,1.41955+2.51915j,0.71867+2.09729j,1.60651766361895
"m006(,)",5,1.41955+2.51915j,0.71867+2.09729j,1.60651766361895
"m006(,)",2,0.75757+2.06175j,1.40451+2.56973j,1.48870516663647
"m006(,)",7,1.92125+2.54808j,0.39549+1.72404j,1.97111086186694
"m007(,)",9,1.96405+2.38535j,0.61109+1.20927j,2.07734044228466
"m007(,)",1,0.96062+1.86755j,1.17029+1.85152j,1.41734268150186
"m007(,)",4,1.36532+2.95884j,0.90957-0.44526j,1.6761406783609
"m007(,)",0,0.6545-3.04404j,1.33092+1.18735j,1.5024158277687
"m007(,)",3,1.36532+2.95884j,0.90957-0.44526j,1.6761406783609
"m007(,)",6,1.92125-2.54808j,0.64804-0.58604j,2.05234162760203
"m007(,)",8,1.96405+2.38535j,0.61109+1.20927j,2.07734044228466
"m007(,)",2,0.96062+1.86755j,1.17029+1.85152j,1.41734268150186
"m007(,)",7,1.92125-2.54808j,0.64804-0.58604j,2.05234162760203
"m007(,)",5,1.51514+2.15969j,0.75929+1.51277j,1.70043575415666
"m008.or(,)",4,1.91233+1.15414j,0.87143-0.87507j,2.08277077625643
"m008.or(,)",1,0.60022+2.90066j,1.90115+0.44661j,1.73820743734447
"m008.or(,)",5,1.91233+1.15414j,0.87143-0.87507j,2.08277077625643
"m008.or(,)",2,1.91233-1.15414j,0.87143+0.87507j,2.08277077625643
"m008.or(,)",0,0.60022-2.90066j,1.90115-0.44661j,1.73820743734447
"m008.or(,)",3,1.91233-1.15414j,0.87143+0.87507j,2.08277077625643
"m009(,)",3,1.38433-2.35619j,0.76914+0.62552j,1.59289919671785
"m009(,)",6,1.97092-1.22208j,0.54864+0.98688j,2.04102768539817
"m009(,)",0,0.63297-1.36218j,1.38433+0.7854j,1.17108671267587
"m009(,)",2,1.38433-2.35619j,0.76914+0.62552j,1.59289919671785
"m009(,)",5,1.89892+2.19665j,0.63297-1.36218j,2.01808625356299
"m009(,)",4,1.48602+1.89956j,0.91344-0.80781j,1.73191722375658
"m009(,)",1,1.38433+0.7854j,0.63297-1.36218j,1.45934569536461
"m010(,)",4,1.26595-2.72436j,0.79061-1.23539j,1.51273195963945
"m010(,)",1,0.98546+2.53055j,1.1456-1.01793j,1.51450336572108
"m010(,)",0,0.63297-1.36218j,1.38433-2.35619j,1.17108671267587
"m010(,)",3,1.26595-2.72436j,0.79061-1.23539j,1.51273195963945
"m010(,)",6,1.48602+1.89956j,0.91344+2.33378j,1.73191722375658
"m010(,)",5,1.38433-2.35619j,0.63297-1.36218j,1.52856918014508
"m010(,)",7,1.89892+2.19665j,0.63297-1.36218j,2.01808625356299
"m010(,)",2,0.98546+2.53055j,1.1456-1.01793j,1.51450336572108
"m011(,)",0,0.50534+1.88865j,1.76377+1.52272j,1.59915845406953
"m011(,)",3,1.01068-2.50589j,1.04988-1.94276j,1.45952616824337
"m011(,)",6,1.67933+1.57283j,0.63559+1.90379j,1.78517064823961
"m011(,)",8,1.99428+2.98935j,0.82626-1.18145j,2.20623512630107
"m011(,)",5,1.55919+1.92922j,0.92409+1.61734j,1.80824076449856
"m011(,)",7,1.91051-1.49721j,0.53418+1.80092j,1.98244023579868
"m011(,)",2,0.97148+2.87892j,1.26824-1.52814j,1.62864017564406
"m011(,)",4,1.05614-1.96376j,0.99735-2.47839j,1.39952653103272
"m011(,)",1,0.89626-2.89649j,1.17087-1.73927j,1.49884495216385
"m012.or(,)",7,1.96846+2.62375j,1.17749-0.14893j,2.37187998845431
"m012.or(,)",2,1.28204+2.29155j,1.43486-1.49061j,1.93236810761149
"m012.or(,)",5,1.32095+1.51615j,1.36217-2.447j,1.78426137149553
"m012.or(,)",8,1.96846+2.62375j,1.17749-0.14893j,2.37187998845431
"m012.or(,)",6,1.46572,1.45716-2.11467j,1.79397698958584
"m012.or(,)",3,1.28204-2.29155j,1.43486+1.49061j,1.93236810761149
"m012.or(,)",0,1.28204+2.29155j,1.43486-1.49061j,1.93236810761149
"m012.or(,)",1,1.28204-2.29155j,1.43486+1.49061j,1.93236810761149
"m012.or(,)",4,1.32095-1.51615j,1.36217+2.447j,1.78426137149553
"m012.or(,)",9,1.96846-2.62375j,1.17749+0.14893j,2.37187998845431
"m013.or(,) (,)",4,1.722+2.66205j,1.26208+1.1214j,2.20731379751987
"m013.or(,) (,)",1,0.49905-1.92448j,2.17289+0.83072j,1.97366294830951
"m013.or(,) (,)",3,1.722-2.66205j,1.26208-1.1214j,2.20731379751987
"m013.or(,) (,)",0,0.49905+1.92448j,2.17289-0.83072j,1.97366294830951
"m013.or(,) (,)",5,1.722+2.66205j,1.26208+1.1214j,2.20731379751987
"m013.or(,) (,)",2,1.722-2.66205j,1.26208-1.1214j,2.20731379751987
"m014.or(,)",3,1.85453+2.085j,0.71921-1.36187j,2.00510573745095
"m014.or(,)",0,0.49905-1.21711j,2.17289+2.31087j,1.55514821463929
"m014.or(,)",5,1.85453-2.085j,0.71921+1.36187j,2.00510573745095
"m014.or(,)",2,1.85453+2.085j,0.71921-1.36187j,2.00510573745095
"m014.or(,)",4,1.85453-2.085j,0.71921+1.36187j,2.00510573745095
"m014.or(,)",1,0.49905+1.21711j,2.17289-2.31087j,1.55514821463929
"m015(,)",1,1.2608+1.97805j,0.98118-0.33088j,1.56930843628328
"m015(,)",4,1.6872+2.81543j,0.70182-0.44518j,1.85519557333867
"m015(,)",0,0.5624-2.81543j,1.51912+0.36594j,1.49153701839846
"m015(,)",6,1.80267-1.37732j,0.63218+0.91951j,1.89985239336032
"m015(,)",3,1.58827+1.67347j,0.7913-0.83914j,1.75816832814659
"m015(,)",5,1.6872+2.81543j,0.70182-0.44518j,1.85519557333867
"m015(,)",2,1.2608+1.97805j,0.98118-0.33088j,1.56930843628328
"m016(,)",6,1.6872+2.81543j,0.55898+2.42322j,1.79564003438451
"m016(,)",3,1.23288-2.96153j,1.18015-1.68954j,1.75292261358157
"m016(,)",0,0.5846+2.49537j,1.64529+2.78963j,1.70505836883974
"m016(,)",2,0.79413-2.30486j,1.40778-2.13353j,1.56648041401319
"m016(,)",7,1.80003-3.07702j,0.79158+1.99744j,2.00626015578569
"m016(,)",5,1.38319-2.12547j,0.82335-2.32406j,1.6067299327253
"m016(,)",8,1.86598+2.11045j,0.73951-2.19795j,2.02534734607959
"m016(,)",1,0.72979+3.0267j,1.46034-1.68015j,1.65838738853274
"m016(,)",4,1.28985+2.48392j,1.05686+3.04625j,1.68709245334201
"m017(,)",1,0.79413-2.30486j,1.45847+0.71081j,1.60926358964917
"m017(,)",4,1.23288-2.96153j,1.0284-2.66845j,1.64307131449788
"m017(,)",9,1.80267-1.37732j,0.63218-2.22209j,1.89985239336032
"m017(,)",8,1.80003-3.07702j,0.54262-2.16389j,1.89985266874041
"m017(,)",2,0.79413-2.30486j,1.45847+0.71081j,1.60926358964917
"m017(,)",5,1.6872+2.81543j,0.92411+0.86148j,1.96914655966566
"m017(,)",7,1.80003-3.07702j,0.54262-2.16389j,1.89985266874041
"m017(,)",0,0.5624-2.81543j,1.51912-2.77566j,1.49153701839846
"m017(,)",3,1.23288-2.96153j,1.0284-2.66845j,1.64307131449788
"m017(,)",6,1.6872+2.81543j,0.92411+0.86148j,1.96914655966566
"m018.or(,)",1,1.27793+2.14395j,1.06081-0.7227j,1.64953980209359
