"name","geod","length","ortho","move"
"v0001(,)",2,1.06879+2.32887j,1.10305-0.71711j,1.52492959688629
"v0001(,)",0,0.17963-0.74605j,2.64978-2.02475j,1.24295927731678
"v0001(,)",1,1.06879+2.32887j,1.10305-0.71711j,1.52492959688629
"v0002(,)",2,1.01427+2.19162j,1.10735+2.28661j,1.46848234540632
"v0002(,)",3,1.01686-3.10692j,1.23831+1.6523j,1.64121287506845
"v0002(,)",0,0.12678+0.88618j,3.22127+2.43361j,1.82351846514877
"v0002(,)",1,0.90959+3.11009j,1.26494+1.70574j,1.59154498405803
"v0002(,)",4,1.10859+2.28576j,1.01299+2.19234j,1.49048475056423
"v0003(,)",1,0.93418-3.08944j,1.2485-1.70414j,1.59355925120381
"v0003(,)",4,1.07512-2.2995j,1.04379-2.1755j,1.48548654905641
"v0003(,)",0,0.12071+0.87598j,3.26472+1.22812j,1.84041603186379
"v0003(,)",3,1.0449-2.1762j,1.0739-2.29883j,1.46750412566737
"v0003(,)",2,0.98878+3.08683j,1.25326-1.64763j,1.63402190882003
"v0004(,)",2,1.10632+2.25391j,1.07901-0.62272j,1.52965551289741
"v0004(,)",0,0.09127-2.88721j,3.32841-0.89612j,1.28522324134752
"v0004(,)",1,1.10632+2.25391j,1.07901-0.62272j,1.52965551289741
"v0005(,)",1,1.05527-2.28391j,1.12963+0.66768j,1.52803711196606
"v0005(,)",2,1.05527-2.28391j,1.12963+0.66768j,1.52803711196606
"v0005(,)",0,0.09127-2.88721j,3.32841+2.24547j,1.28522324134752
"v0006(,)",1,1.03151+2.20358j,1.17014-0.58103j,1.52814666550317
"v0006(,)",2,1.03151+2.20358j,1.17014-0.58103j,1.52814666550317
"v0006(,)",0,0.08486+1.04058j,3.40096+1.73018j,1.35423084296109
"v0007(,)",0,0.08486+1.04058j,3.40096-1.41141j,1.35423084296109
"v0007(,)",2,1.04349-2.19573j,1.15808+0.57082j,1.52769444522913
"v0007(,)",1,1.04349-2.19573j,1.15808+0.57082j,1.52769444522913
"v0008(,)",2,0.99216-3.11815j,1.23729-1.67826j,1.62340961203085
"v0008(,)",3,1.02564-2.25288j,1.0981-2.22033j,1.47874633460044
"v0008(,)",0,0.07521+0.96289j,3.73727+2.62839j,1.89205752373636
"v0008(,)",4,1.0976-2.22025j,1.02616-2.25297j,1.4833258608676
"v0008(,)",1,0.93301+3.11936j,1.27244-1.67456j,1.61309610034103
"v0009(,)",0,0.07433-1.07673j,3.53388+2.34126j,1.34176255469161
"v0009(,)",2,1.02345+2.228j,1.1758-0.60934j,1.52947516490003
"v0009(,)",1,1.02345+2.228j,1.1758-0.60934j,1.52947516490003
"v0010(,)",2,1.06961-2.19839j,1.12948+0.56982j,1.5283870679055
"v0010(,)",0,0.07433-1.07673j,3.53388-0.80033j,1.34176255469161
"v0010(,)",1,1.06961-2.19839j,1.12948+0.56982j,1.5283870679055
"v0011(,)",4,1.09+2.21039j,1.03302+2.26234j,1.48054993322088
"v0011(,)",1,0.94144-3.1119j,1.27039+1.6688j,1.61684954177466
"v0011(,)",0,0.07385+0.9587j,3.75513-2.31409j,1.90889080673823
"v0011(,)",3,1.03256+2.26256j,1.09044+2.21017j,1.47993599826561
"v0011(,)",2,0.98297+3.11078j,1.23868+1.68283j,1.61824266429107
"v0012(,)",2,1.02702-2.23819j,1.17028+0.62036j,1.52960158604776
"v0012(,)",0,0.06567-1.01019j,3.6579-2.61225j,1.33302829851246
"v0012(,)",1,1.02702-2.23819j,1.17028+0.62036j,1.52960158604776
"v0013(,)",2,1.0776+2.2062j,1.1196-0.57687j,1.52885507779056
"v0013(,)",0,0.06567-1.01019j,3.6579+0.52934j,1.33302829851246
"v0013(,)",1,1.0776+2.2062j,1.1196-0.57687j,1.52885507779056
"v0014(,)",2,1.09316-2.24278j,1.09579+0.61348j,1.52928780731949
"v0014(,)",0,0.06143+1.9606j,3.7245+0.72169j,1.29913298925137
"v0014(,)",1,1.09316-2.24278j,1.09579+0.61348j,1.52928780731949
"v0015(,)",1,1.05189+2.26756j,1.13685-0.64956j,1.52854468555022
"v0015(,)",2,1.05189+2.26756j,1.13685-0.64956j,1.52854468555022
"v0015(,)",0,0.06143+1.9606j,3.7245-2.41991j,1.29913298925137
"v0016(,)",1,1.0888-2.22374j,1.10436+0.5937j,1.52942425697863
"v0016(,)",0,0.05771+1.19392j,3.78717+0.09805j,1.3155824229395
"v0016(,)",2,1.0888-2.22374j,1.10436+0.5937j,1.52942425697863
"v0017(,)",1,1.03747+2.25533j,1.15561-0.63822j,1.52929780591326
"v0017(,)",0,0.05771+1.19392j,3.78717-3.04354j,1.3155824229395
"v0017(,)",2,1.03747+2.25533j,1.15561-0.63822j,1.52929780591326
"v0018(,)",0,0.05419+2.22155j,3.84999-0.77501j,1.30015395661712
"v0018(,)",2,1.08907+2.24356j,1.1001-0.61519j,1.52908172125318
"v0018(,)",1,1.08907+2.24356j,1.1001-0.61519j,1.52908172125318
"v0019(,)",1,1.05443-2.2644j,1.13456+0.64545j,1.52849019189294
"v0019(,)",0,0.05419+2.22155j,3.84999+2.36658j,1.30015395661712
"v0019(,)",2,1.05443-2.2644j,1.13456+0.64545j,1.52849019189294
"v0020(,)",2,1.04677-2.26133j,1.1439+0.64341j,1.52883089685594
"v0020(,)",0,0.05438-1.48253j,3.84653+2.66266j,1.3063337794547
"v0020(,)",1,1.04677-2.26133j,1.1439+0.64341j,1.52883089685594
"v0021(,)",0,0.05438-1.48253j,3.84653-0.47894j,1.3063337794547
"v0021(,)",2,1.08993+2.23512j,1.10088-0.60581j,1.52930112940307
"v0021(,)",1,1.08993+2.23512j,1.10088-0.60581j,1.52930112940307
"v0022(,)",3,1.04062-2.22062j,1.08192-2.25412j,1.47518503019861
"v0022(,)",2,0.98531+3.13054j,1.24705-1.66701j,1.62680263722379
"v0022(,)",0,0.05065+2.86415j,4.13959-2.54913j,1.88326481168025
"v0022(,)",1,0.93989-3.13098j,1.25993-1.68703j,1.60713033476477
"v0022(,)",4,1.08209-2.25395j,1.04045-2.22078j,1.48391785467766
"v0023(,)",4,1.06579+2.26265j,1.05613+2.21151j,1.48242008964072
"v0023(,)",1,0.95234+3.11935j,1.25168+1.68789j,1.60843733962244
"v0023(,)",3,1.05631+2.21164j,1.06561+2.26251j,1.4753605760388
"v0023(,)",2,0.97215-3.11895j,1.25488+1.66491j,1.62434423982931
"v0023(,)",0,0.04938+2.86563j,4.16312-1.29219j,1.89241479429626
"v0024(,)",2,1.03894-2.24835j,1.15512+0.63j,1.52915875696583
"v0024(,)",0,0.04801+1.09056j,3.97115-3.0525j,1.31969449130219
"v0024(,)",1,1.03894-2.24835j,1.15512+0.63j,1.52915875696583
"v0025(,)",1,1.08167+2.22187j,1.11242-0.59303j,1.52907793171061
"v0025(,)",0,0.04801+1.09056j,3.97115+0.08909j,1.31969449130219
"v0025(,)",2,1.08167+2.22187j,1.11242-0.59303j,1.52907793171061
"v0026(,)",1,1.05206+2.25785j,1.13852-0.63846j,1.52864541152702
"v0026(,)",0,0.04366-1.65279j,4.06596-2.54018j,1.30613330176148
"v0026(,)",2,1.05206+2.25785j,1.13852-0.63846j,1.52864541152702
"v0027(,)",1,1.08426-2.23829j,1.10643+0.61041j,1.52899536537527
"v0027(,)",2,1.08426-2.23829j,1.10643+0.61041j,1.52899536537527
"v0027(,)",0,0.04366-1.65279j,4.06596+0.60142j,1.30613330176148
"v0028(,)",1,0.94092+3.14022j,1.26302-1.68174j,1.61040789251628
"v0028(,)",4,1.08415-2.24092j,1.03882-2.23342j,1.48305535584289
"v0028(,)",0,0.04381+1.16181j,4.28269-3.06045j,1.89183570534761
"v0028(,)",2,0.98435-3.14016j,1.24484-1.67206j,1.62433936781794
"v0028(,)",3,1.03878-2.23325j,1.0842-2.24109j,1.4768737508914
"v0029(,)",1,0.96096-3.12061j,1.25937+1.66809j,1.62058843168171
"v0029(,)",4,1.06752+2.21564j,1.05471+2.25809j,1.47743410188959
"v0029(,)",3,1.0547+2.25826j,1.06753+2.21548j,1.48091154510835
"v0029(,)",2,0.9635+3.12056j,1.24791+1.68435j,1.61276080270527
"v0029(,)",0,0.04236+1.16164j,4.31527-1.77046j,1.90939363979189
"v0030(,)",2,1.04725-2.25441j,1.14461+0.63544j,1.52882472422831
"v0030(,)",0,0.04283+1.31637j,4.08532+2.80439j,1.31110911711546
"v0030(,)",1,1.04725-2.25441j,1.14461+0.63544j,1.52882472422831
"v0031(,)",1,1.08339+2.2323j,1.10857-0.60404j,1.52905937985787
"v0031(,)",0,0.04283+1.31637j,4.08532-0.3372j,1.31110911711546
"v0031(,)",2,1.08339+2.2323j,1.10857-0.60404j,1.52905937985787
"v0032(,)",4,1.08282+2.23738j,1.04015+2.2368j,1.48247611492581
"v0032(,)",1,0.94284-3.13735j,1.263+1.67997j,1.61165297033872
"v0032(,)",0,0.0407+1.1205j,4.35612-3.07135j,1.89655400371301
"v0032(,)",2,0.98234+3.1372j,1.24496+1.67362j,1.62307135096665
"v0032(,)",3,1.04007+2.23667j,1.08289+2.23751j,1.47739936362835
"v0033(,)",1,0.95832+3.12242j,1.26011-1.6695j,1.6194529233742
"v0033(,)",4,1.0699-2.21808j,1.05247-2.25562j,1.47812375329129
"v0033(,)",0,0.03954+1.121j,4.38427+1.91326j,1.91477448226019
"v0033(,)",2,0.96621-3.12228j,1.24737-1.68301j,1.6141382621434
"v0033(,)",3,1.05242-2.25576j,1.06994-2.21795j,1.48047453466004
"v0034(,)",1,1.04727-2.2228j,1.14995+0.59997j,1.52851668270947
"v0034(,)",2,1.04727-2.2228j,1.14995+0.59997j,1.52851668270947
