"name","margulis upper","left geod","left power","right geod","right power","ortho"
"m003(-3,1)",0.8611920456339417,0.5846+2.49537j,1,0.79413-2.30486j,1,0.50203-0.94145j
"m003(-3,1)",0.8611920456339417,0.5846+2.49537j,1,0.79413-2.30486j,1,0.50203-0.94145j
"m003(-3,1)",0.8611920456339417,0.5846+2.49537j,1,0.79413-2.30486j,1,0.50203+2.20014j
"m003(-3,1)",0.7744228890719576,0.5846+2.49537j,1,0.5846+2.49537j,1,0.52531+1.33135j
"m003(-3,1)",0.8611920456339417,0.5846+2.49537j,1,0.79413-2.30486j,1,0.50203-0.94145j
"m003(-3,1)",0.8611920456339417,0.5846+2.49537j,1,0.79413-2.30486j,1,0.50203-0.94145j
"m003(-3,1)",0.7744228890719576,0.5846+2.49537j,1,0.5846+2.49537j,1,0.52531-1.81025j
"m003(-3,1)",0.8120653806540099,0.79413-2.30486j,1,0.79413-2.30486j,1,0.17857-1.22058j
"m003(-3,1)",0.8120653806540099,0.79413-2.30486j,1,0.79413-2.30486j,1,0.17857-1.22058j
"m003(-3,1)",0.7744228890719576,0.5846+2.49537j,1,0.5846+2.49537j,1,0.52531-1.81025j
"m003(-3,1)",0.8120653806540099,0.79413-2.30486j,1,0.79413-2.30486j,1,0.17857+1.92102j
"m003(-3,1)",0.8611920456339417,0.5846+2.49537j,1,0.79413-2.30486j,1,0.50203-0.94145j
"m003(-4,3)",0.8138092547488901,0.57508-1.74532j,1,0.66684+2.82503j,1,0.5898-1.1609j
"m003(-4,3)",0.8138092547488901,0.57508-1.74532j,1,0.66684+2.82503j,1,0.5898-1.1609j
"m003(-4,3)",0.8138092547488901,0.57508-1.74532j,1,0.66684+2.82503j,1,0.5898-1.1609j
"m003(-4,3)",0.8138092547488901,0.57508-1.74532j,1,0.66684+2.82503j,1,0.5898+1.9807j
"m004(6,1)",0.8471743670802947,0.48031-0.93378j,1,0.75757+2.06175j,1,0.87127-1.13094j
"m004(6,1)",1.1834368016560186,0.75757+2.06175j,1,0.75757+2.06175j,1,1.00352-0.91318j
"m003(-4,1)",0.8636621908884475,0.72219+2.5616j,1,0.72219+2.5616j,1,0.48113-2.03879j
"m003(-4,1)",0.9179204490124008,0.35237+1.75553j,1,0.72219+2.5616j,1,0.82073+1.30566j
"m003(-4,1)",0.9179204490124008,0.35237+1.75553j,1,0.72219+2.5616j,1,0.82073-1.83593j
"m004(5,2)",1.1460974077564237,0.76396+1.63073j,1,0.76396+1.63073j,1,1.0652-0.54493j
"m004(5,2)",0.9058371893076967,0.33598+2.97615j,2,0.76396+1.63073j,1,1.07221+1.51443j
"m003(-5,3)",0.9016925017370909,0.70684+2.69575j,1,0.79787-1.88039j,1,0.52393+2.07312j
"m003(-5,3)",0.9506591270828462,0.70684+2.69575j,1,0.70684+2.69575j,1,0.63654+0.95748j
"m003(-5,3)",0.9016925017370909,0.70684+2.69575j,1,0.79787-1.88039j,1,0.52393-1.06848j
"m007(1,2)",0.9229567060263474,0.70684-2.69575j,1,0.79787+1.88039j,1,0.56605+0.68226j
"m007(1,2)",0.8849195954709321,0.79787+1.88039j,1,0.79787+1.88039j,1,0.44413-2.05512j
"m007(1,2)",0.9229567060263474,0.70684-2.69575j,1,0.79787+1.88039j,1,0.56605-2.45934j
"m007(3,2)",0.8834210083716344,0.77749+2.92493j,1,0.77749+2.92493j,1,0.41145-1.51756j
"m007(3,2)",0.8834210083716344,0.77749+2.92493j,1,0.77749+2.92493j,1,0.41145-1.51756j
"m007(3,2)",0.8834210083716344,0.77749+2.92493j,1,0.77749+2.92493j,1,0.41145+1.62404j
"m006(3,1)",0.9041060926056703,0.53453-1.67048j,1,0.71652+2.34444j,1,0.75571+2.33291j
"m006(3,1)",0.8736571124253691,0.60938+2.73797j,1,0.71652+2.34444j,1,0.57649-1.80893j
"m006(3,1)",0.8736571124253691,0.60938+2.73797j,1,0.71652+2.34444j,1,0.57649+1.33267j
"m006(3,1)",0.9041060926056703,0.53453-1.67048j,1,0.71652+2.34444j,1,0.75571+2.33291j
"m006(3,1)",0.9214416873023847,0.71652+2.34444j,1,0.71652+2.34444j,1,0.60822-1.64853j
"m003(-5,4)",0.9209363141842741,0.30469-1.36898j,1,0.75595+2.76772j,1,0.90898-1.10315j
"m003(-5,4)",1.3754316666094097,0.75595+2.76772j,1,0.75595+2.76772j,1,1.13904-1.43717j
"m003(-5,4)",1.3754316666094097,0.75595+2.76772j,1,0.75595+2.76772j,1,1.13904-1.43717j
"m003(-5,4)",0.8952952085423114,0.75595+2.76772j,1,0.78521-1.70415j,1,0.50177+2.0135j
"m003(-5,4)",0.9209363141842741,0.30469-1.36898j,1,0.75595+2.76772j,1,0.90898-1.10315j
"m003(-5,4)",0.983992523911863,0.75595+2.76772j,1,0.75595+2.76772j,1,0.62481+0.80748j
"m003(-5,4)",1.0215561689668884,0.30469-1.36898j,1,0.78521-1.70415j,1,1.11998+1.52744j
"m003(-5,4)",0.8952952085423114,0.75595+2.76772j,1,0.78521-1.70415j,1,0.50177-1.12809j
"m003(-5,4)",1.1700311094658593,0.78521-1.70415j,1,0.78521-1.70415j,1,1.05196-2.54143j
"m016(-3,2)",0.9096106530153419,0.72979-3.0267j,1,0.79413+2.30486j,1,0.4992+1.40742j
"m016(-3,2)",0.9096106530153419,0.72979-3.0267j,1,0.79413+2.30486j,1,0.4992-1.73417j
"m007(5,1)",1.4133880239658427,0.72979+3.0267j,1,0.72979+3.0267j,1,1.18675+1.36528j
"m007(5,1)",1.0418122013819773,0.39707-1.15243j,1,0.72979+3.0267j,1,1.15328+0.60206j
"m006(-1,3)",0.8859508107318539,0.64493+1.89963j,1,0.72979-3.0267j,1,0.60235-1.91204j
"m006(-1,3)",0.9731249467221476,0.64493+1.89963j,1,0.64493+1.89963j,1,0.85244-1.49795j
"m006(-1,3)",0.8859508107318539,0.64493+1.89963j,1,0.72979-3.0267j,1,0.60235+1.22955j
"m006(3,2)",0.9308400414384157,0.65759+2.23647j,1,0.65759+2.23647j,1,0.70901-1.64303j
"m006(3,2)",0.8964145671671574,0.65759+2.23647j,1,0.73562+2.81977j,1,0.58139-1.83397j
"m006(3,2)",0.8964145671671574,0.65759+2.23647j,1,0.73562+2.81977j,1,0.58139+1.30762j
"m006(4,1)",0.9085072010397858,0.61374+2.84591j,1,0.76131+2.25528j,1,0.59676-1.81833j
"m006(4,1)",0.9437713694734143,0.37071-1.32951j,1,0.76131+2.25528j,1,0.95128+2.41898j
"m006(4,1)",0.9085072010397858,0.61374+2.84591j,1,0.76131+2.25528j,1,0.59676+1.32326j
"m006(4,1)",0.9437713694734143,0.37071-1.32951j,1,0.76131+2.25528j,1,0.95128+2.41898j
"m006(4,1)",0.977793942747619,0.76131+2.25528j,1,0.76131+2.25528j,1,0.65217-1.58452j
"m006(-2,3)",0.897157586358232,0.66289-3.04659j,1,0.7039+1.88779j,1,0.62252+1.23159j
"m006(-2,3)",0.897157586358232,0.66289-3.04659j,1,0.7039+1.88779j,1,0.62252-1.91001j
"m007(-6,1)",1.5572244436204132,0.53918+3.12401j,1,0.53918+3.12401j,1,1.44422+1.35587j
"m007(-6,1)",1.0410860225443843,0.33043+0.97532j,1,0.53918+3.12401j,1,1.35155+1.16945j
"m010(3,2)",0.9281946104277291,0.4734-1.47772j,1,0.79139+2.54962j,1,0.80063+2.20526j
"m010(3,2)",1.0274030821682245,0.41496+2.64714j,1,0.79139+2.54962j,1,0.8111-1.4591j
"m010(3,2)",1.122065486593407,0.79139+2.54962j,1,0.79139+2.54962j,1,0.80435+1.16409j
"m010(3,2)",1.0274030821682245,0.41496+2.64714j,1,0.79139+2.54962j,1,0.8111-1.4591j
"m010(3,2)",0.9281946104277291,0.4734-1.47772j,1,0.79139+2.54962j,1,0.80063-0.93634j
"m016(-4,1)",1.0463661523167656,0.63297+3.14159j,1,0.79139-2.54962j,1,0.75617+2.26235j
"m016(-4,1)",1.0071983405590152,0.4734+1.47772j,1,0.79139+2.54962j,1,0.93015+0.05487j
"m016(-4,1)",0.9318601826255336,0.63297+3.14159j,1,0.79139+2.54962j,1,0.58545-1.89423j
