"name","left geod","right geod","ortho"
"m003(-3,1)",0.5846+2.49537*1j,0.79413-2.30486*1j,0.50203-0.94145*1j
"m003(-3,1)",0.5846+2.49537*1j,0.79413-2.30486*1j,0.50203-0.94145*1j
"m003(-3,1)",0.5846+2.49537*1j,0.79413-2.30486*1j,0.50203+2.20014*1j
"m003(-3,1)",0.5846+2.49537*1j,0.5846+2.49537*1j,0.52531+1.33135*1j
"m003(-3,1)",0.5846+2.49537*1j,0.79413-2.30486*1j,0.50203-0.94145*1j
"m003(-3,1)",0.5846+2.49537*1j,0.79413-2.30486*1j,0.50203-0.94145*1j
"m003(-3,1)",0.5846+2.49537*1j,0.5846+2.49537*1j,0.52531-1.81025*1j
"m003(-3,1)",0.79413-2.30486*1j,0.79413-2.30486*1j,0.17857-1.22058*1j
"m003(-3,1)",0.79413-2.30486*1j,0.79413-2.30486*1j,0.17857-1.22058*1j
"m003(-3,1)",0.5846+2.49537*1j,0.5846+2.49537*1j,0.52531-1.81025*1j
"m003(-3,1)",0.79413-2.30486*1j,0.79413-2.30486*1j,0.17857+1.92102*1j
"m003(-3,1)",0.5846+2.49537*1j,0.79413-2.30486*1j,0.50203-0.94145*1j
"m003(-4,3)",0.57508-1.74532*1j,0.66684+2.82503*1j,0.5898-1.1609*1j
"m003(-4,3)",0.57508-1.74532*1j,0.66684+2.82503*1j,0.5898-1.1609*1j
"m003(-4,3)",0.57508-1.74532*1j,0.66684+2.82503*1j,0.5898-1.1609*1j
"m003(-4,3)",0.57508-1.74532*1j,0.66684+2.82503*1j,0.5898+1.9807*1j
"m004(6,1)",0.48031-0.93378*1j,0.75757+2.06175*1j,0.87127-1.13094*1j
"m004(6,1)",0.75757+2.06175*1j,0.75757+2.06175*1j,1.00352-0.91318*1j
"m003(-4,1)",0.72219+2.5616*1j,0.72219+2.5616*1j,0.48113-2.03879*1j
"m003(-4,1)",0.35237+1.75553*1j,0.72219+2.5616*1j,0.82073+1.30566*1j
"m003(-4,1)",0.35237+1.75553*1j,0.72219+2.5616*1j,0.82073-1.83593*1j
"m004(5,2)",0.76396+1.63073*1j,0.76396+1.63073*1j,1.0652-0.54493*1j
"m004(5,2)",0.33598+2.97615*1j,0.76396+1.63073*1j,1.07221+1.51443*1j
"m003(-5,3)",0.70684+2.69575*1j,0.79787-1.88039*1j,0.52393+2.07312*1j
"m003(-5,3)",0.70684+2.69575*1j,0.70684+2.69575*1j,0.63654+0.95748*1j
"m003(-5,3)",0.70684+2.69575*1j,0.79787-1.88039*1j,0.52393-1.06848*1j
"m007(1,2)",0.70684-2.69575*1j,0.79787+1.88039*1j,0.56605+0.68226*1j
"m007(1,2)",0.79787+1.88039*1j,0.79787+1.88039*1j,0.44413-2.05512*1j
"m007(1,2)",0.70684-2.69575*1j,0.79787+1.88039*1j,0.56605-2.45934*1j
"m007(3,2)",0.77749+2.92493*1j,0.77749+2.92493*1j,0.41145-1.51756*1j
"m007(3,2)",0.77749+2.92493*1j,0.77749+2.92493*1j,0.41145-1.51756*1j
"m007(3,2)",0.77749+2.92493*1j,0.77749+2.92493*1j,0.41145+1.62404*1j
"m006(3,1)",0.53453-1.67048*1j,0.71652+2.34444*1j,0.75571+2.33291*1j
"m006(3,1)",0.60938+2.73797*1j,0.71652+2.34444*1j,0.57649-1.80893*1j
"m006(3,1)",0.60938+2.73797*1j,0.71652+2.34444*1j,0.57649+1.33267*1j
"m006(3,1)",0.53453-1.67048*1j,0.71652+2.34444*1j,0.75571+2.33291*1j
"m006(3,1)",0.71652+2.34444*1j,0.71652+2.34444*1j,0.60822-1.64853*1j
"m003(-5,4)",0.30469-1.36898*1j,0.75595+2.76772*1j,0.90898-1.10315*1j
"m003(-5,4)",0.75595+2.76772*1j,0.75595+2.76772*1j,1.13904-1.43717*1j
"m003(-5,4)",0.75595+2.76772*1j,0.75595+2.76772*1j,1.13904-1.43717*1j
"m003(-5,4)",0.75595+2.76772*1j,0.78521-1.70415*1j,0.50177+2.0135*1j
"m003(-5,4)",0.30469-1.36898*1j,0.75595+2.76772*1j,0.90898-1.10315*1j
"m003(-5,4)",0.75595+2.76772*1j,0.75595+2.76772*1j,0.62481+0.80748*1j
"m003(-5,4)",0.30469-1.36898*1j,0.78521-1.70415*1j,1.11998+1.52744*1j
"m003(-5,4)",0.75595+2.76772*1j,0.78521-1.70415*1j,0.50177-1.12809*1j
"m003(-5,4)",0.78521-1.70415*1j,0.78521-1.70415*1j,1.05196-2.54143*1j
"m016(-3,2)",0.72979-3.0267*1j,0.79413+2.30486*1j,0.4992+1.40742*1j
"m016(-3,2)",0.72979-3.0267*1j,0.79413+2.30486*1j,0.4992-1.73417*1j
"m007(5,1)",0.72979+3.0267*1j,0.72979+3.0267*1j,1.18675+1.36528*1j
"m007(5,1)",0.39707-1.15243*1j,0.72979+3.0267*1j,1.15328+0.60206*1j
"m006(-1,3)",0.64493+1.89963*1j,0.72979-3.0267*1j,0.60235-1.91204*1j
"m006(-1,3)",0.64493+1.89963*1j,0.64493+1.89963*1j,0.85244-1.49795*1j
"m006(-1,3)",0.64493+1.89963*1j,0.72979-3.0267*1j,0.60235+1.22955*1j
"m006(3,2)",0.65759+2.23647*1j,0.65759+2.23647*1j,0.70901-1.64303*1j
"m006(3,2)",0.65759+2.23647*1j,0.73562+2.81977*1j,0.58139-1.83397*1j
"m006(3,2)",0.65759+2.23647*1j,0.73562+2.81977*1j,0.58139+1.30762*1j
"m006(4,1)",0.61374+2.84591*1j,0.76131+2.25528*1j,0.59676-1.81833*1j
"m006(4,1)",0.37071-1.32951*1j,0.76131+2.25528*1j,0.95128+2.41898*1j
"m006(4,1)",0.61374+2.84591*1j,0.76131+2.25528*1j,0.59676+1.32326*1j
"m006(4,1)",0.37071-1.32951*1j,0.76131+2.25528*1j,0.95128+2.41898*1j
"m006(4,1)",0.76131+2.25528*1j,0.76131+2.25528*1j,0.65217-1.58452*1j
"m006(-2,3)",0.66289-3.04659*1j,0.7039+1.88779*1j,0.62252+1.23159*1j
"m006(-2,3)",0.66289-3.04659*1j,0.7039+1.88779*1j,0.62252-1.91001*1j
"m007(-6,1)",0.53918+3.12401*1j,0.53918+3.12401*1j,1.44422+1.35587*1j
"m007(-6,1)",0.33043+0.97532*1j,0.53918+3.12401*1j,1.35155+1.16945*1j
"m010(3,2)",0.4734-1.47772*1j,0.79139+2.54962*1j,0.80063+2.20526*1j
"m010(3,2)",0.41496+2.64714*1j,0.79139+2.54962*1j,0.8111-1.4591*1j
"m010(3,2)",0.79139+2.54962*1j,0.79139+2.54962*1j,0.80435+1.16409*1j
"m010(3,2)",0.41496+2.64714*1j,0.79139+2.54962*1j,0.8111-1.4591*1j
"m010(3,2)",0.4734-1.47772*1j,0.79139+2.54962*1j,0.80063-0.93634*1j
"m016(-4,1)",0.63297+3.14159*1j,0.79139-2.54962*1j,0.75617+2.26235*1j
"m016(-4,1)",0.4734+1.47772*1j,0.79139+2.54962*1j,0.93015+0.05487*1j
"m016(-4,1)",0.63297+3.14159*1j,0.79139+2.54962*1j,0.58545-1.89423*1j
"m016(-4,1)",0.4734+1.47772*1j,0.79139-2.54962*1j,0.83365+0.55388*1j
"m016(-4,1)",0.79139+2.54962*1j,0.79139-2.54962*1j,0.6681+1.09975*1j
"m009(6,1)",0.79395-1.5125*1j,0.79395-1.5125*1j,1.16509+0.8954*1j
"m009(6,1)",0.37793-0.94567*1j,0.79395-1.5125*1j,1.18971+0.33011*1j
"m009(-6,1)",0.37793+0.94567*1j,0.53881-1.52735*1j,1.30056+1.02804*1j
"m015(-5,1)",0.44046+0.93385*1j,0.5348-3.03229*1j,1.25542+0.86062*1j
"m011(4,1)",0.52242+1.77783*1j,0.74409-2.79165*1j,0.92756-0.8558*1j
"m011(4,1)",0.40322-1.66644*1j,0.74409-2.79165*1j,0.88576+1.82372*1j
"m016(4,1)",0.46064-1.39014*1j,0.59613+2.67213*1j,0.97537+2.53471*1j
"m016(4,1)",0.58971+3.01682*1j,0.59613+2.67213*1j,0.87042+1.22362*1j
"m017(1,3)",0.62635-3.018*1j,0.78545-2.08724*1j,0.7058-1.60024*1j
"m017(1,3)",0.78545-2.08724*1j,0.78545-2.08724*1j,0.63411-0.98344*1j
"m017(1,3)",0.62635-3.018*1j,0.78545-2.08724*1j,0.7058+1.54135*1j
"m011(-2,3)",0.43861+2.49286*1j,0.76833+2.85975*1j,0.80097-1.57608*1j
"m011(-2,3)",0.76833+2.85975*1j,0.78545-2.08724*1j,0.5697+2.08077*1j
"m034(-3,2)",0.70316-2.85929*1j,0.70316-2.85929*1j,0.59867+1.50735*1j
"m011(4,3)",0.39395+1.78918*1j,0.75801-2.99162*1j,0.90488+1.15921*1j
"m011(4,3)",0.61254+1.88726*1j,0.75801-2.99162*1j,0.91367-0.67906*1j
