"name","left geod","right geod","ortho"
"m003(-3,1)",0.5846+2.49537j,0.79413-2.30486j,0.50203-0.94145j
"m003(-3,1)",0.5846+2.49537j,0.79413-2.30486j,0.50203-0.94145j
"m003(-3,1)",0.5846+2.49537j,0.79413-2.30486j,0.50203+2.20014j
"m003(-3,1)",0.5846+2.49537j,0.5846+2.49537j,0.52531+1.33135j
"m003(-3,1)",0.5846+2.49537j,0.79413-2.30486j,0.50203-0.94145j
"m003(-3,1)",0.5846+2.49537j,0.79413-2.30486j,0.50203-0.94145j
"m003(-3,1)",0.5846+2.49537j,0.5846+2.49537j,0.52531-1.81025j
"m003(-3,1)",0.79413-2.30486j,0.79413-2.30486j,0.17857-1.22058j
"m003(-3,1)",0.79413-2.30486j,0.79413-2.30486j,0.17857-1.22058j
"m003(-3,1)",0.5846+2.49537j,0.5846+2.49537j,0.52531-1.81025j
"m003(-3,1)",0.79413-2.30486j,0.79413-2.30486j,0.17857+1.92102j
"m003(-3,1)",0.5846+2.49537j,0.79413-2.30486j,0.50203-0.94145j
"m003(-4,3)",0.57508-1.74532j,0.66684+2.82503j,0.5898-1.1609j
"m003(-4,3)",0.57508-1.74532j,0.66684+2.82503j,0.5898-1.1609j
"m003(-4,3)",0.57508-1.74532j,0.66684+2.82503j,0.5898-1.1609j
"m003(-4,3)",0.57508-1.74532j,0.66684+2.82503j,0.5898+1.9807j
"m004(6,1)",0.48031-0.93378j,0.75757+2.06175j,0.87127-1.13094j
"m004(6,1)",0.75757+2.06175j,0.75757+2.06175j,1.00352-0.91318j
"m003(-4,1)",0.72219+2.5616j,0.72219+2.5616j,0.48113-2.03879j
"m003(-4,1)",0.35237+1.75553j,0.72219+2.5616j,0.82073+1.30566j
"m003(-4,1)",0.35237+1.75553j,0.72219+2.5616j,0.82073-1.83593j
"m004(5,2)",0.76396+1.63073j,0.76396+1.63073j,1.0652-0.54493j
"m004(5,2)",0.33598+2.97615j,0.76396+1.63073j,1.07221+1.51443j
"m003(-5,3)",0.70684+2.69575j,0.79787-1.88039j,0.52393+2.07312j
"m003(-5,3)",0.70684+2.69575j,0.70684+2.69575j,0.63654+0.95748j
"m003(-5,3)",0.70684+2.69575j,0.79787-1.88039j,0.52393-1.06848j
"m007(1,2)",0.70684-2.69575j,0.79787+1.88039j,0.56605+0.68226j
"m007(1,2)",0.79787+1.88039j,0.79787+1.88039j,0.44413-2.05512j
"m007(1,2)",0.70684-2.69575j,0.79787+1.88039j,0.56605-2.45934j
"m007(3,2)",0.77749+2.92493j,0.77749+2.92493j,0.41145-1.51756j
"m007(3,2)",0.77749+2.92493j,0.77749+2.92493j,0.41145-1.51756j
"m007(3,2)",0.77749+2.92493j,0.77749+2.92493j,0.41145+1.62404j
"m006(3,1)",0.53453-1.67048j,0.71652+2.34444j,0.75571+2.33291j
"m006(3,1)",0.60938+2.73797j,0.71652+2.34444j,0.57649-1.80893j
"m006(3,1)",0.60938+2.73797j,0.71652+2.34444j,0.57649+1.33267j
"m006(3,1)",0.53453-1.67048j,0.71652+2.34444j,0.75571+2.33291j
"m006(3,1)",0.71652+2.34444j,0.71652+2.34444j,0.60822-1.64853j
"m003(-5,4)",0.30469-1.36898j,0.75595+2.76772j,0.90898-1.10315j
"m003(-5,4)",0.75595+2.76772j,0.75595+2.76772j,1.13904-1.43717j
"m003(-5,4)",0.75595+2.76772j,0.75595+2.76772j,1.13904-1.43717j
"m003(-5,4)",0.75595+2.76772j,0.78521-1.70415j,0.50177+2.0135j
"m003(-5,4)",0.30469-1.36898j,0.75595+2.76772j,0.90898-1.10315j
"m003(-5,4)",0.75595+2.76772j,0.75595+2.76772j,0.62481+0.80748j
"m003(-5,4)",0.30469-1.36898j,0.78521-1.70415j,1.11998+1.52744j
"m003(-5,4)",0.75595+2.76772j,0.78521-1.70415j,0.50177-1.12809j
"m003(-5,4)",0.78521-1.70415j,0.78521-1.70415j,1.05196-2.54143j
"m016(-3,2)",0.72979-3.0267j,0.79413+2.30486j,0.4992+1.40742j
"m016(-3,2)",0.72979-3.0267j,0.79413+2.30486j,0.4992-1.73417j
"m007(5,1)",0.72979+3.0267j,0.72979+3.0267j,1.18675+1.36528j
"m007(5,1)",0.39707-1.15243j,0.72979+3.0267j,1.15328+0.60206j
"m006(-1,3)",0.64493+1.89963j,0.72979-3.0267j,0.60235-1.91204j
"m006(-1,3)",0.64493+1.89963j,0.64493+1.89963j,0.85244-1.49795j
"m006(-1,3)",0.64493+1.89963j,0.72979-3.0267j,0.60235+1.22955j
"m006(3,2)",0.65759+2.23647j,0.65759+2.23647j,0.70901-1.64303j
"m006(3,2)",0.65759+2.23647j,0.73562+2.81977j,0.58139-1.83397j
"m006(3,2)",0.65759+2.23647j,0.73562+2.81977j,0.58139+1.30762j
"m006(4,1)",0.61374+2.84591j,0.76131+2.25528j,0.59676-1.81833j
"m006(4,1)",0.37071-1.32951j,0.76131+2.25528j,0.95128+2.41898j
"m006(4,1)",0.61374+2.84591j,0.76131+2.25528j,0.59676+1.32326j
"m006(4,1)",0.37071-1.32951j,0.76131+2.25528j,0.95128+2.41898j
"m006(4,1)",0.76131+2.25528j,0.76131+2.25528j,0.65217-1.58452j
"m006(-2,3)",0.66289-3.04659j,0.7039+1.88779j,0.62252+1.23159j
