"name","left geod","right geod","ortho"
"s082(,)",0.7821+2.69736j,0.7821+2.69736j,1.4273+2.79768j
"s090(,)",0.32781-1.1181j,0.65121-1.68301j,1.30147+0.31151j
"s108(,)",0.27525+1.02625j,0.5803-1.71655j,1.42952+0.82915j
"s134(,)",0.15391+2.7826j,0.61188-1.65266j,1.69312+0.16412j
"s134(,)",0.61188-1.65266j,0.61188-1.65266j,1.66183+0.80999j
"s143(,)",0.5544-1.67694j,0.5544-1.67694j,1.78681+0.87827j
"s150(,)",0.57881-1.61532j,0.57881-1.61532j,1.69913-2.11398j
"s151(,)",0.12496+1.8976j,0.60418-1.64066j,1.79844-0.00345j
"s151(,)",0.60418-1.64066j,0.60418-1.64066j,1.6817+0.78626j
"s158(,)",0.54409+1.63713j,0.54409+1.63713j,1.77948+2.08607j
"s159(,)",0.58461+1.62167j,0.58461+1.62167j,1.69129+2.09932j
"s166(,)",0.59885+1.64455j,0.59885+1.64455j,1.69223-0.79593j
"s166(,)",0.10358+2.27963j,0.59885+1.64455j,1.89565-0.05011j
"s170(,)",0.59525-1.63532j,0.59525-1.63532j,1.70207+0.77686j
"s170(,)",0.09895-1.68997j,0.59525-1.63532j,1.91816+3.00465j
"s174(,)",0.59342+1.6587j,0.59342+1.6587j,1.6871+2.02716j
"s176(,)",0.09282+2.43803j,0.55015+1.65732j,1.97795-1.42283j
"s176(,)",0.55015+1.65732j,0.55015+1.65732j,1.79913-0.83274j
"s177(,)",0.58727-1.62824j,0.58727-1.62824j,1.68914-2.08595j
"s179(,)",0.54894-1.65103j,0.54894-1.65103j,1.77416-2.05436j
"s181(,)",0.58044-1.62558j,0.58044-1.62558j,1.70086-2.09381j
"s182(,)",0.59363-1.65324j,0.59363-1.65324j,1.68544-2.0373j
"s186(,)",0.57189-1.66678j,0.57189-1.66678j,1.73051-2.0159j
"s187(,)",0.59231+1.64863j,0.59231+1.64863j,1.6867+2.04625j
"s188(,)",0.58804+1.63407j,0.58804+1.63407j,1.71782-0.77559j
"s188(,)",0.07815+2.59048j,0.58804+1.63407j,2.03928-2.90158j
"s189(,)",0.58765+1.63391j,0.58765+1.63391j,1.69064+2.07523j
"s191(,)",0.5652+1.66373j,0.5652+1.66373j,1.74344+2.02346j
"s193(,)",0.59011-1.64518j,0.59011-1.64518j,1.6898-2.05332j
"s194(,)",0.06895+2.43637j,0.58727-1.63737j,2.10307-0.17925j
"s194(,)",0.58727-1.63737j,0.58727-1.63737j,1.71886+0.78285j
"s195(,)",0.58844+1.65302j,0.58844+1.65302j,1.69514+2.03904j
"s196(,)",0.58393+1.6344j,0.58393+1.6344j,1.69781+2.0757j
"s196(,)",0.06577+2.41485j,0.58393+1.6344j,2.17236-2.5453j
"s202(,)",0.58672-1.64702j,0.58672-1.64702j,1.69675-2.05087j
"s257(,)",0.4798-2.11999j,0.4798-2.11999j,1.95916-1.49527j
"s262(,)",0.47736+2.15627j,0.47736+2.15627j,1.9653-1.90775j
"s265(,)",0.47224+2.15597j,0.47224+2.15597j,1.97024-1.90894j
"s269(,)",0.48598+2.12727j,0.48598+2.12727j,1.95716+1.48362j
"s277(,)",0.47926-2.15261j,0.47926-2.15261j,1.96444+1.90377j
"s280(,)",0.48796+2.13659j,0.48796+2.13659j,1.96029+1.4724j
"s282(,)",0.48736-2.14109j,0.48736-2.14109j,1.95887+1.89054j
"s284(,)",0.48679+2.14284j,0.48679+2.14284j,1.96484+1.46602j
"s285(,)",0.4829+2.12773j,0.4829+2.12773j,1.96075+1.48498j
"s286(,)",0.48481-2.14665j,0.48481-2.14665j,1.96036+1.89665j
"s295(,)",0.47703-2.15093j,0.47703-2.15093j,1.96704+1.90271j
"s305(,)",0.48517-2.13818j,0.48517-2.13818j,1.96424-1.47214j
"s307(,)",0.48329+2.14414j,0.48329+2.14414j,1.96241-1.89445j
"s408(,)",0.74128-1.90292j,0.77455+2.02764j,1.14588+0.00168j
"s428(,)",0.69271-2.05219j,0.72895-1.9778j,0.95856+0.28238j
"s444(,)",0.70726-2.12665j,0.78826-2.11594j,0.90629+0.40373j
"s446(,)",0.69269-2.01432j,0.70362-2.08979j,0.9712+0.32512j
"s447(,)",0.71464+2.01995j,0.78256+1.9824j,0.91773+2.87709j
"s456(,)",0.6857-2.08987j,0.75485-2.12078j,0.94159+0.38703j
"s470(,)",0.77263+1.95069j,0.77791-1.97045j,1.14565+3.14139j
"s473(,)",0.69448-2.05579j,0.73318-2.10323j,0.95129+0.35645j
"s483(,)",0.77788-1.93222j,0.79168+1.98385j,1.14593-3.14115j
"s485(,)",0.70572-2.09503j,0.76484-2.10784j,0.92374+0.38093j
"s494(,)",0.71801+2.04773j,0.75081+2.0049j,0.93142-0.29354j
"s501(,)",0.72421-2.03911j,0.76528-2.00691j,0.92012+0.28898j
"s504(,)",0.66137-2.34867j,0.72384+1.87923j,1.0071-3.06201j
"s505(,)",0.62647+2.38411j,0.75513-1.84216j,1.00716-0.12187j
"s510(,)",0.78713+1.94391j,0.79386-1.96908j,1.14593-0.00019j
"s515(,)",0.74342+1.95948j,0.75389-2.365j,0.94661+0.03446j
"s516(,)",0.71355-2.04017j,0.72876-2.08461j,0.94387+0.3358j
