"name","left geod","right geod","ortho"
"v0224(,)",0.23786+0.95457*1j,0.62724+1.67602*1j,1.47222-0.33841*1j
"v0226(,)",0.20479+0.88655*1j,0.58162-1.69836*1j,1.57388+0.78975*1j
"v0234(,)",0.56959-1.67802*1j,0.56959-1.67802*1j,1.75068+0.87809*1j
"v0234(,)",0.1223-2.81625*1j,0.56959-1.67802*1j,1.83435+0.90991*1j
"v0241(,)",0.59703+1.65419*1j,0.59703+1.65419*1j,1.69382-0.81744*1j
"v0241(,)",0.10115-2.84268*1j,0.59703+1.65419*1j,1.91043-0.23462*1j
"v0243(,)",0.09758+1.45184*1j,0.55529+1.66571*1j,1.9522-1.22549*1j
"v0243(,)",0.55529+1.66571*1j,0.55529+1.66571*1j,1.78628-0.85167*1j
"v0244(,)",0.09434+2.80149*1j,0.55273-1.63103*1j,2.01354-1.43934*1j
"v0244(,)",0.55273-1.63103*1j,0.55273-1.63103*1j,1.75844-2.09526*1j
"v0245(,)",0.09365+1.91565*1j,0.56431+1.66959*1j,1.96884-1.02763*1j
"v0245(,)",0.56431+1.66959*1j,0.56431+1.66959*1j,1.76464-0.85938*1j
"v0246(,)",0.59252-1.63416*1j,0.59252-1.63416*1j,1.6817-2.07298*1j
"v0247(,)",0.58815-1.62998*1j,0.58815-1.62998*1j,1.71831+0.76677*1j
"v0247(,)",0.0885+1.18051*1j,0.58815-1.62998*1j,1.97605+2.83189*1j
"v0250(,)",0.55009-1.64286*1j,0.55009-1.64286*1j,1.76889-2.07141*1j
"v0252(,)",0.55414-1.65863*1j,0.55414-1.65863*1j,1.78979+0.83536*1j
"v0252(,)",0.08206+1.33364*1j,0.55414-1.65863*1j,2.03779+1.3532*1j
"v0253(,)",0.57402+1.62596*1j,0.57402+1.62596*1j,1.71334+2.09592*1j
"v0253(,)",0.07903+2.82596*1j,0.57402+1.62596*1j,2.08695+0.93846*1j
"v0254(,)",0.56699-1.66649*1j,0.56699-1.66649*1j,1.75897+0.85171*1j
"v0254(,)",0.07918+2.26211*1j,0.56699-1.66649*1j,2.05069+0.98698*1j
"v0255(,)",0.55821-1.63127*1j,0.55821-1.63127*1j,1.78311+0.77338*1j
"v0256(,)",0.55605-1.63387*1j,0.55605-1.63387*1j,1.78769+0.77927*1j
"v0257(,)",0.55461+1.63684*1j,0.55461+1.63684*1j,1.79066-0.78596*1j
"v0258(,)",0.55198+1.64776*1j,0.55198+1.64776*1j,1.76662+2.06034*1j
"v0259(,)",0.5546-1.63729*1j,0.5546-1.63729*1j,1.75723-2.08139*1j
"v0259(,)",0.07456+1.89974*1j,0.5546-1.63729*1j,2.12987-1.53241*1j
"v0260(,)",0.0739+1.93124*1j,0.5909-1.64822*1j,2.06911+0.13076*1j
"v0260(,)",0.5909-1.64822*1j,0.5909-1.64822*1j,1.70873+0.80577*1j
"v0261(,)",0.07314-1.45932*1j,0.59034+1.64225*1j,2.07317+0.0262*1j
"v0261(,)",0.59034+1.64225*1j,0.59034+1.64225*1j,1.71123-0.79284*1j
"v0262(,)",0.55395-1.63993*1j,0.55395-1.63993*1j,1.79191+0.7929*1j
"v0262(,)",0.07203-2.67274*1j,0.55395-1.63993*1j,2.09831+1.83085*1j
"v0263(,)",0.56274-1.66299*1j,0.56274-1.66299*1j,1.76936+0.84432*1j
"v0263(,)",0.0722+1.68188*1j,0.56274-1.66299*1j,2.09824+1.11879*1j
"v0264(,)",0.57053-1.62784*1j,0.57053-1.62784*1j,1.75656+0.76472*1j
