"name","geod","length","ortho","move"
"s001(,)",2,1.06425+2.35407*1j,1.10151-0.74861*1j,1.52305927256028
"s001(,)",6,1.87002-3.08693*1j,0.67231-0.75346*1j,2.0179953549778
"s001(,)",1,1.06425+2.35407*1j,1.10151-0.74861*1j,1.52305927256028
"s001(,)",0,0.22993-0.84198*1j,2.40205-2.07827*1j,1.22573607831101
"s001(,)",4,1.63253-2.92764*1j,0.69977-0.85768*1j,1.80403068124374
"s001(,)",3,1.63253-2.92764*1j,0.69977-0.85768*1j,1.80403068124374
"s001(,)",5,1.87002-3.08693*1j,0.67231-0.75346*1j,2.0179953549778
"s001(,)",7,1.90747+1.91853*1j,0.81237-1.27535*1j,2.08928945816056
"s002(,)",5,1.75701-2.6003*1j,1.01658-2.84894*1j,2.07997480092635
"s002(,)",3,1.03846-3.09581*1j,1.23091+1.64538*1j,1.65022854421077
"s002(,)",4,1.12786+2.30231*1j,0.99332+2.1793*1j,1.49502364196251
"s002(,)",0,0.1727+1.03081*1j,2.91081+2.45841*1j,1.7877289840932
"s002(,)",1,0.8897+3.10151*1j,1.26928+1.71732*1j,1.58246416043863
"s002(,)",6,1.94797-2.26831*1j,0.95639-2.88845*1j,2.21151208761108
"s002(,)",2,0.99562+2.17785*1j,1.12568+2.30406*1j,1.46506417269457
"s003(,)",1,0.92788-3.07088*1j,1.24371-1.71217*1j,1.58519605195906
"s003(,)",2,0.99318+3.06662*1j,1.25395-1.63754*1j,1.63734832544273
"s003(,)",6,1.86408+2.61721*1j,0.99223+2.83139*1j,2.16516997384483
"s003(,)",0,0.16037+1.01326*1j,2.97648+1.27504*1j,1.81433844357978
"s003(,)",4,1.07482-2.32114*1j,1.04119-2.15391*1j,1.48573439582421
"s003(,)",5,1.82673+2.26332*1j,0.96857+2.89207*1j,2.10311610204105
"s003(,)",3,1.04298-2.15534*1j,1.07276-2.31974*1j,1.46252185293709
"s004(,)",1,1.04437+2.30159*1j,1.13859-0.6907*1j,1.52818728527472
"s004(,)",2,1.04437+2.30159*1j,1.13859-0.6907*1j,1.52818728527472
"s004(,)",6,1.81291-3.09248*1j,0.71387-0.72796*1j,1.98172693359826
"s004(,)",0,0.12978+2.8457*1j,2.97639-2.37434*1j,1.27836166541586
"s004(,)",4,1.65913-3.04513*1j,0.74665-0.77693*1j,1.85215229214397
"s004(,)",3,1.65913-3.04513*1j,0.74665-0.77693*1j,1.85215229214397
"s004(,)",7,1.98976+1.83504*1j,0.83111+2.09346*1j,2.17414953773205
"s004(,)",5,1.81291-3.09248*1j,0.71387-0.72796*1j,1.98172693359826
"s005(,)",4,1.81291-3.09248*1j,0.68137+0.65539*1j,1.96731937129059
"s005(,)",3,1.81291-3.09248*1j,0.68137+0.65539*1j,1.96731937129059
"s005(,)",7,1.98976+1.83504*1j,0.83111-1.04813*1j,2.17414953773205
"s005(,)",5,1.86662+3.03779*1j,0.6336+0.68279*1j,1.99863466783325
"s005(,)",1,1.12806-2.25308*1j,1.05575+0.61666*1j,1.53152574394337
"s005(,)",2,1.12806-2.25308*1j,1.05575+0.61666*1j,1.53152574394337
"s005(,)",6,1.86662+3.03779*1j,0.6336+0.68279*1j,1.99863466783325
"s005(,)",0,0.12978+2.8457*1j,2.97639+0.76725*1j,1.27836166541586
"s006(,)",4,1.69456-3.12819*1j,0.78389-0.66075*1j,1.90389252821138
"s006(,)",3,1.69456-3.12819*1j,0.78389-0.66075*1j,1.90389252821138
"s006(,)",5,1.73471+3.01083*1j,0.80137-0.61209*1j,1.94971454004969
"s006(,)",1,1.01719+2.19084*1j,1.18743-0.56874*1j,1.5278259655306
"s006(,)",6,1.73471+3.01083*1j,0.80137-0.61209*1j,1.94971454004969
"s006(,)",2,1.01719+2.19084*1j,1.18743-0.56874*1j,1.5278259655306
"s006(,)",0,0.12082+1.24564*1j,3.0471+1.75869*1j,1.36932693344532
"s007(,)",0,0.12082+1.24564*1j,3.0471-1.3829*1j,1.36932693344532
"s007(,)",1,1.03724-2.17737*1j,1.16721+0.55178*1j,1.52676578663141
"s007(,)",2,1.03724-2.17737*1j,1.16721+0.55178*1j,1.52676578663141
"s007(,)",6,1.78485-3.00849*1j,0.77355+0.5921*1j,1.9828728986969
"s007(,)",5,1.78485-3.00849*1j,0.77355+0.5921*1j,1.9828728986969
"s007(,)",3,1.69456-3.12819*1j,0.77478+0.64306*1j,1.89932531811614
"s007(,)",4,1.69456-3.12819*1j,0.77478+0.64306*1j,1.89932531811614
"s008(,)",3,1.68214-3.05493*1j,0.81528+0.65866*1j,1.90825158724235
"s008(,)",5,1.71795+3.09952*1j,0.77846+0.68822*1j,1.92294847822895
"s008(,)",4,1.68214-3.05493*1j,0.81528+0.65866*1j,1.90825158724235
"s008(,)",0,0.10805+1.29692*1j,3.15957-2.30435*1j,1.35436746446411
"s008(,)",6,1.71795+3.09952*1j,0.77846+0.68822*1j,1.92294847822895
"s008(,)",2,1.00679-2.2222*1j,1.19541+0.60495*1j,1.53033631459876
"s008(,)",1,1.00679-2.2222*1j,1.19541+0.60495*1j,1.53033631459876
"s009(,)",5,1.84283+3.04986*1j,0.72644-0.59314*1j,2.0157291075611
"s009(,)",3,1.71795+3.09952*1j,0.75002-0.63155*1j,1.90900465250744
"s009(,)",4,1.71795+3.09952*1j,0.75002-0.63155*1j,1.90900465250744
"s009(,)",0,0.10805+1.29692*1j,3.15957+0.83725*1j,1.35436746446411
"s009(,)",2,1.0712+2.18011*1j,1.13061-0.55009*1j,1.52803178095237
"s009(,)",6,1.84283+3.04986*1j,0.72644-0.59314*1j,2.0157291075611
"s009(,)",1,1.0712+2.18011*1j,1.13061-0.55009*1j,1.52803178095237
"s010(,)",0,0.1057+1.13672*1j,3.39382+2.6482*1j,1.87894674012467
"s010(,)",1,0.92063+3.11145*1j,1.28071-1.67417*1j,1.61201126055764
"s010(,)",2,1.00493-3.10909*1j,1.23123-1.67851*1j,1.6271899391722
"s010(,)",6,1.97068+2.45814*1j,0.95807+2.85846*1j,2.24108049621751
"s010(,)",3,1.011-2.25812*1j,1.11396-2.21432*1j,1.47934191257889
"s010(,)",5,1.73833+2.43169*1j,0.99383+2.88363*1j,2.04270322391626
"s010(,)",4,1.11298-2.21414*1j,1.01203-2.25835*1j,1.48607604716231
"s011(,)",0,0.10255+1.12869*1j,3.42334-2.27447*1j,1.90618704598837
"s011(,)",6,1.95295-2.49833*1j,0.96341-2.85144*1j,2.22854798975702
"s011(,)",2,0.98909+3.09742*1j,1.23355+1.6856*1j,1.61811560638696
"s011(,)",1,0.93475-3.09952*1j,1.27676+1.66438*1j,1.61774702796473
"s011(,)",3,1.02276+2.27373*1j,1.10044+2.1977*1j,1.48073861007511
"s011(,)",5,1.75191-2.39301*1j,0.9868-2.88651*1j,2.04948373727303
"s011(,)",4,1.09964+2.19818*1j,1.02363+2.27322*1j,1.48090603816905
"s012(,)",0,0.09361-1.93846*1j,3.30346-0.51026*1j,1.2984136531559
"s012(,)",2,1.11087+2.23558*1j,1.07819-0.6019*1j,1.53069838380149
"s012(,)",6,1.85447-3.08916*1j,0.66221-0.66289*1j,1.99884915149639
"s012(,)",1,1.11087+2.23558*1j,1.07819-0.6019*1j,1.53069838380149
"s012(,)",5,1.85447-3.08916*1j,0.66221-0.66289*1j,1.99884915149639
"s012(,)",3,1.7889+3.09746*1j,0.70026-0.65187*1j,1.9528159701689
"s012(,)",4,1.7889+3.09746*1j,0.70026-0.65187*1j,1.9528159701689
"s013(,)",4,1.67303+3.09242*1j,0.80526-0.68489*1j,1.89475156959812
"s013(,)",3,1.67303+3.09242*1j,0.80526-0.68489*1j,1.89475156959812
"s013(,)",5,1.73809-3.09501*1j,0.76636-0.69866*1j,1.93581728047971
"s013(,)",1,1.01264+2.23979*1j,1.18647-0.62426*1j,1.53070252236667
"s013(,)",6,1.73809-3.09501*1j,0.76636-0.69866*1j,1.93581728047971
"s013(,)",2,1.01264+2.23979*1j,1.18647-0.62426*1j,1.53070252236667
"s013(,)",0,0.09361+1.20313*1j,3.30346+2.63133*1j,1.33976586286957
"s014(,)",5,1.85447-3.08916*1j,0.70527+0.60937*1j,2.01741142172176
"s014(,)",3,1.73809-3.09501*1j,0.73501+0.63473*1j,1.92075134012258
"s014(,)",4,1.73809-3.09501*1j,0.73501+0.63473*1j,1.92075134012258
"s014(,)",0,0.09361+1.20313*1j,3.30346-0.51026*1j,1.33976586286957
"s014(,)",2,1.0855-2.19331*1j,1.11337+0.56179*1j,1.52921457911683
"s014(,)",6,1.85447-3.08916*1j,0.70527+0.60937*1j,2.01741142172176
"s014(,)",1,1.0855-2.19331*1j,1.11337+0.56179*1j,1.52921457911683
"s015(,)",0,0.09361+1.93846*1j,3.30346-2.63133*1j,1.2984136531559
"s015(,)",2,1.03776+2.27931*1j,1.1509-0.66588*1j,1.52921801314543
"s015(,)",6,1.7889-3.09746*1j,0.72963-0.71551*1j,1.96619150973984
"s015(,)",1,1.03776+2.27931*1j,1.1509-0.66588*1j,1.52921801314543
"s015(,)",5,1.7889-3.09746*1j,0.72963-0.71551*1j,1.96619150973984
"s015(,)",3,1.67303-3.09242*1j,0.76142-0.74289*1j,1.87255434341698
"s015(,)",4,1.67303-3.09242*1j,0.76142-0.74289*1j,1.87255434341698
"s016(,)",3,1.77004+3.09306*1j,0.71232-0.64308*1j,1.9403767715257
"s016(,)",5,1.8621-3.12909*1j,0.67526-0.6396*1j,2.01171150650643
"s016(,)",4,1.77004+3.09306*1j,0.71232-0.64308*1j,1.9403767715257
"s016(,)",0,0.08864-1.47281*1j,3.35824-0.12298*1j,1.31478095710118
"s016(,)",1,1.1043+2.21773*1j,1.08893-0.58423*1j,1.5305989003739
"s016(,)",2,1.1043+2.21773*1j,1.08893-0.58423*1j,1.5305989003739
"s016(,)",6,1.8621-3.12909*1j,0.67526-0.6396*1j,2.01171150650643
"s017(,)",4,1.66671-3.12993*1j,0.78241-0.72384*1j,1.8772463656597
"s017(,)",3,1.66671-3.12993*1j,0.78241-0.72384*1j,1.8772463656597
"s017(,)",5,1.77004-3.09306*1j,0.74475-0.71175*1j,1.95545317344219
"s017(,)",2,1.02565+2.26594*1j,1.16743-0.65248*1j,1.53022403485801
"s017(,)",6,1.77004-3.09306*1j,0.74475-0.71175*1j,1.95545317344219
"s017(,)",1,1.02565+2.26594*1j,1.16743-0.65248*1j,1.53022403485801
"s017(,)",0,0.08864+1.47281*1j,3.35824-3.01861*1j,1.31478095710118
"s018(,)",1,1.1039+2.23918*1j,1.08491-0.60729*1j,1.53004478347976
"s018(,)",6,1.8377-3.09031*1j,0.67114-0.66958*1j,1.98657908312765
"s018(,)",2,1.1039+2.23918*1j,1.08491-0.60729*1j,1.53004478347976
"s018(,)",0,0.0807+2.2427*1j,3.45179-0.59121*1j,1.29794146657578
"s018(,)",4,1.78814+3.10537*1j,0.70321-0.65731*1j,1.95342934919527
"s018(,)",3,1.78814+3.10537*1j,0.70321-0.65731*1j,1.95342934919527
"s018(,)",5,1.8377-3.09031*1j,0.67114-0.66958*1j,1.98657908312765
"s019(,)",5,1.78814+3.10537*1j,0.72731+0.70951*1j,1.96441194628242
"s019(,)",3,1.68887+3.09294*1j,0.75253+0.73518*1j,1.88297563250866
"s019(,)",4,1.68887+3.09294*1j,0.75253+0.73518*1j,1.88297563250866
"s019(,)",0,0.0807+2.2427*1j,3.45179+2.55038*1j,1.29794146657578
"s019(,)",2,1.04394-2.27507*1j,1.14454+0.65976*1j,1.52884812932028
"s019(,)",6,1.78814+3.10537*1j,0.72731+0.70951*1j,1.96441194628242
"s019(,)",1,1.04394-2.27507*1j,1.14454+0.65976*1j,1.52884812932028
"s020(,)",5,1.80117+2.50631*1j,0.99382+2.86294*1j,2.10390716476179
"s020(,)",3,1.02914-2.21508*1j,1.09361-2.26046*1j,1.47356972820985
"s020(,)",4,1.09392-2.26004*1j,1.02881-2.21548*1j,1.48636975487892
"s020(,)",0,0.07506+2.80694*1j,3.74513-2.61694*1j,1.86354795951577
"s020(,)",2,0.99758+3.12751*1j,1.24278-1.66349*1j,1.63165841436235
"s020(,)",6,1.90436+2.37611*1j,0.96541+2.87539*1j,2.17943917282037
"s020(,)",1,0.92818-3.12836*1j,1.26391-1.69176*1j,1.60279712826779
"s021(,)",6,1.86573-2.52063*1j,0.98267-2.85316*1j,2.15813353698056
"s021(,)",2,0.97381-3.10753*1j,1.25646+1.65958*1j,1.62671157027095
"s021(,)",1,0.95014+3.10824*1j,1.2492+1.69255*1j,1.60485133096813
"s021(,)",0,0.07189+2.80972*1j,3.78545-1.36831*1j,1.87988402581476
"s021(,)",4,1.06476+2.27476*1j,1.05646+2.19929*1j,1.48318156143745
"s021(,)",3,1.05677+2.19963*1j,1.06441+2.27441*1j,1.47345725450585
"s021(,)",5,1.83593-2.36429*1j,0.97392-2.88135*1j,2.11928718171731
"s022(,)",5,1.75927+3.10239*1j,0.74895+0.70124*1j,1.94732097588094
"s022(,)",3,1.68576-3.13328*1j,0.78011+0.7036*1j,1.89379992933416
"s022(,)",4,1.68576-3.13328*1j,0.78011+0.7036*1j,1.89379992933416
"s022(,)",0,0.07069+1.31884*1j,3.58432-3.03252*1j,1.3221260569114
"s022(,)",6,1.75927+3.10239*1j,0.74895+0.70124*1j,1.94732097588094
"s022(,)",2,1.02821-2.25305*1j,1.16661+0.63716*1j,1.529859270387
"s022(,)",1,1.02821-2.25305*1j,1.16661+0.63716*1j,1.529859270387
"s023(,)",2,1.09099+2.21405*1j,1.10384-0.58289*1j,1.52963784372049
"s023(,)",6,1.84186+3.13281*1j,0.69438-0.63705*1j,2.00064057781143
"s023(,)",1,1.09099+2.21405*1j,1.10384-0.58289*1j,1.52963784372049
"s023(,)",0,0.07069+1.31884*1j,3.58432+0.10907*1j,1.3221260569114
"s023(,)",4,1.75927+3.10239*1j,0.72269-0.64633*1j,1.93497564233624
"s023(,)",5,1.84186+3.13281*1j,0.69438-0.63705*1j,2.00064057781143
"s023(,)",3,1.75927+3.10239*1j,0.72269-0.64633*1j,1.93497564233624
"s024(,)",5,1.77555-3.10578*1j,0.7362-0.7047*1j,1.95664826296521
"s024(,)",3,1.69101-3.11786*1j,0.76275-0.71988*1j,1.89003411926919
"s024(,)",4,1.69101-3.11786*1j,0.76275-0.71988*1j,1.89003411926919
"s024(,)",0,0.06891-1.66493*1j,3.60975-2.81775*1j,1.30842353055152
"s024(,)",2,1.03846+2.26458*1j,1.15283-0.64867*1j,1.52925872417494
"s024(,)",6,1.77555-3.10578*1j,0.7362-0.7047*1j,1.95664826296521
"s024(,)",1,1.03846+2.26458*1j,1.15283-0.64867*1j,1.52925872417494
"s025(,)",3,1.77555-3.10578*1j,0.7123+0.65373*1j,1.94560625765713
"s025(,)",5,1.83613+3.11661*1j,0.68324+0.65684*1j,1.99031133203068
"s025(,)",4,1.77555-3.10578*1j,0.7123+0.65373*1j,1.94560625765713
"s025(,)",0,0.06891-1.66493*1j,3.60975+0.32384*1j,1.30842353055152
"s025(,)",6,1.83613+3.11661*1j,0.68324+0.65684*1j,1.99031133203068
"s025(,)",2,1.09689-2.22903*1j,1.09459+0.59782*1j,1.52983013243746
"s025(,)",1,1.09689-2.22903*1j,1.09459+0.59782*1j,1.52983013243746
"s026(,)",2,0.99593-3.14007*1j,1.24049-1.66974*1j,1.62866605627695
"s026(,)",6,1.91868+2.40817*1j,0.96487+2.8697*1j,2.19388342529766
"s026(,)",1,0.92989+3.14015*1j,1.26781-1.68497*1j,1.60721076375151
"s026(,)",0,0.06654+1.42464*1j,3.86334-3.03889*1j,1.87510300910281
"s026(,)",4,1.09605-2.24366*1j,1.02744-2.23107*1j,1.48544393979997
"s026(,)",5,1.78814+2.47627*1j,0.99238+2.86998*1j,2.08982779359147
"s026(,)",3,1.02738-2.23067*1j,1.09613-2.24406*1j,1.47593391485418
"s027(,)",1,0.9607-3.11023*1j,1.26181+1.6635*1j,1.62239739126695
"s027(,)",6,1.8889-2.50238*1j,0.97647-2.85483*1j,2.17568837696837
