"name","geod","length","ortho","move"
"v0001(,)",0,0.17963-0.74605*1j,2.64978-2.02475*1j,1.24295927731678
"v0002(,)",1,0.90959+3.11009*1j,1.26494+1.70574*1j,1.59154498405803
"v0002(,)",0,0.12678+0.88618*1j,3.22127+2.43361*1j,1.82351846514877
"v0003(,)",1,0.93418-3.08944*1j,1.2485-1.70414*1j,1.59355925120381
"v0003(,)",2,0.98878+3.08683*1j,1.25326-1.64763*1j,1.63402190882003
"v0003(,)",0,0.12071+0.87598*1j,3.26472+1.22812*1j,1.84041603186379
"v0004(,)",0,0.09127-2.88721*1j,3.32841-0.89612*1j,1.28522324134752
"v0005(,)",0,0.09127-2.88721*1j,3.32841+2.24547*1j,1.28522324134752
"v0006(,)",0,0.08486+1.04058*1j,3.40096+1.73018*1j,1.35423084296109
"v0007(,)",0,0.08486+1.04058*1j,3.40096-1.41141*1j,1.35423084296109
"v0008(,)",2,0.99216-3.11815*1j,1.23729-1.67826*1j,1.62340961203085
"v0008(,)",1,0.93301+3.11936*1j,1.27244-1.67456*1j,1.61309610034103
"v0008(,)",0,0.07521+0.96289*1j,3.73727+2.62839*1j,1.89205752373636
"v0009(,)",0,0.07433-1.07673*1j,3.53388+2.34126*1j,1.34176255469161
"v0010(,)",0,0.07433-1.07673*1j,3.53388-0.80033*1j,1.34176255469161
"v0011(,)",0,0.07385+0.9587*1j,3.75513-2.31409*1j,1.90889080673823
"v0011(,)",1,0.94144-3.1119*1j,1.27039+1.6688*1j,1.61684954177466
"v0011(,)",2,0.98297+3.11078*1j,1.23868+1.68283*1j,1.61824266429107
"v0012(,)",0,0.06567-1.01019*1j,3.6579-2.61225*1j,1.33302829851246
"v0013(,)",0,0.06567-1.01019*1j,3.6579+0.52934*1j,1.33302829851246
"v0014(,)",0,0.06143+1.9606*1j,3.7245+0.72169*1j,1.29913298925137
"v0015(,)",0,0.06143+1.9606*1j,3.7245-2.41991*1j,1.29913298925137
"v0016(,)",0,0.05771+1.19392*1j,3.78717+0.09805*1j,1.3155824229395
"v0017(,)",0,0.05771+1.19392*1j,3.78717-3.04354*1j,1.3155824229395
"v0018(,)",0,0.05419+2.22155*1j,3.84999-0.77501*1j,1.30015395661712
"v0019(,)",0,0.05419+2.22155*1j,3.84999+2.36658*1j,1.30015395661712
"v0020(,)",0,0.05438-1.48253*1j,3.84653+2.66266*1j,1.3063337794547
"v0021(,)",0,0.05438-1.48253*1j,3.84653-0.47894*1j,1.3063337794547
"v0022(,)",1,0.93989-3.13098*1j,1.25993-1.68703*1j,1.60713033476477
"v0022(,)",2,0.98531+3.13054*1j,1.24705-1.66701*1j,1.62680263722379
"v0022(,)",0,0.05065+2.86415*1j,4.13959-2.54913*1j,1.88326481168025
"v0023(,)",0,0.04938+2.86563*1j,4.16312-1.29219*1j,1.89241479429626
"v0023(,)",2,0.97215-3.11895*1j,1.25488+1.66491*1j,1.62434423982931
"v0023(,)",1,0.95234+3.11935*1j,1.25168+1.68789*1j,1.60843733962244
"v0024(,)",0,0.04801+1.09056*1j,3.97115-3.0525*1j,1.31969449130219
"v0025(,)",0,0.04801+1.09056*1j,3.97115+0.08909*1j,1.31969449130219
